Population,Sample,Lon,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NCR,NCR26,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR27,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR28,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR29,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR30,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR31B,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR32,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR33,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR34,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR35,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR36,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR37B,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR38B,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR39,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NDU,NDU02,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU03,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU05,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU07,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU08,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU09,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU10,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU11,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU12,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU13,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU14,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU15,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU16,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU17,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU19,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU20,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU22,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU23,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU24,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU25,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU26,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU27,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU28,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU29,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NDU,NDU30,148.51,-32.33,170,135,46,5621,321,29,292,236,97,241,97,656,74,41,17,198,144,192,144
NFN,NFN01,145.55,-35.68,161,133,46,5359,317,34,283,126,204,230,93,462,51,26,17,132,95,98,122
NFN,NFN02,145.55,-35.68,161,133,46,5359,317,34,283,126,204,230,93,462,51,26,17,132,95,98,122
NFN,NFN05,145.55,-35.68,161,133,46,5359,317,34,283,126,204,230,93,462,51,26,17,132,95,98,122
