Sample,Population,Lon,Lat
VDO29,VDB,145.68,-36.4
VDO30,VDB,145.68,-36.4
VGL01,VGL,143.53,-37.1
VGL02,VGL,143.53,-37.1
VGL03,VGL,143.53,-37.1
VGL04,VGL,143.53,-37.1
VGL05,VGL,143.53,-37.1
VGL07,VGL,143.53,-37.1
VGL08,VGL,143.53,-37.1
VGL09,VGL,143.53,-37.1
VGL10,VGL,143.53,-37.1
VGL11,VGL,143.53,-37.1
VGL12,VGL,143.53,-37.1
VGL13,VGL,143.53,-37.1
VGL14,VGL,143.53,-37.1
VGL16,VGL,143.53,-37.1
VGL17,VGL,143.53,-37.1
VGL18,VGL,143.53,-37.1
VGL19,VGL,143.53,-37.1
VGL20,VGL,143.53,-37.1
VGL22,VGL,143.53,-37.1
VGL24,VGL,143.53,-37.1
VGL26,VGL,143.53,-37.1
VGL27,VGL,143.53,-37.1
VGL28,VGL,143.53,-37.1
VGL29,VGL,143.53,-37.1
VGL30,VGL,143.53,-37.1
VMA01,VMA,141.82,-36.77
VMA03,VMA,141.82,-36.77
VMA05,VMA,141.82,-36.77
VMA08,VMA,141.82,-36.77
VMA09,VMA,141.82,-36.77
VMA10,VMA,141.82,-36.77
VMA12,VMA,141.82,-36.77
VMA13,VMA,141.82,-36.77
VMA14,VMA,141.82,-36.77
VMA15,VMA,141.82,-36.77
VMA18,VMA,141.82,-36.77
VMA19,VMA,141.82,-36.77
VMA20,VMA,141.82,-36.77
VMA21,VMA,141.82,-36.77
VMA23,VMA,141.82,-36.77
VMA24,VMA,141.82,-36.77
VMA25,VMA,141.82,-36.77
VMA26,VMA,141.82,-36.77
VMA28,VMA,141.82,-36.77
VMA29,VMA,141.82,-36.77
VMC01,VMC,144.11,-36.77
VMC04B,VMC,144.11,-36.77
VMC06,VMC,144.11,-36.77
VMC08,VMC,144.11,-36.77
VMC10B,VMC,144.11,-36.77
VMC12B,VMC,144.11,-36.77
VMC14,VMC,144.11,-36.77
VMC18,VMC,144.11,-36.77
VMC21,VMC,144.11,-36.77
VMC23,VMC,144.11,-36.77
VMC24,VMC,144.11,-36.77
VMC25,VMC,144.11,-36.77
VMC26B,VMC,144.11,-36.77
VMC27,VMC,144.11,-36.77
VMC28B,VMC,144.11,-36.77
VMC29,VMC,144.11,-36.77
VMC30,VMC,144.11,-36.77
VMC31,VMC,144.11,-36.77
VMC32,VMC,144.11,-36.77
VMC33B,VMC,144.11,-36.77
VMC34,VMC,144.11,-36.77
VMC35,VMC,144.11,-36.77
VMC36,VMC,144.11,-36.77
VMC37,VMC,144.11,-36.77
VMC38,VMC,144.11,-36.77
VMC39B,VMC,144.11,-36.77
VMC40,VMC,144.11,-36.77
VMJ01,VMJ,143.14,-36.28
VMJ03,VMJ,143.14,-36.28
VMJ05,VMJ,143.14,-36.28
VRH02,VRH,145.95,-36.58
VRH04,VRH,145.95,-36.58
VRH05,VRH,145.95,-36.58
VRH06,VRH,145.95,-36.58
VRH08,VRH,145.95,-36.58
VRH10,VRH,145.95,-36.58
VRH11,VRH,145.95,-36.58
VRH12,VRH,145.95,-36.58
VRH13,VRH,145.95,-36.58
VRH21,VRH,145.95,-36.58
VRH22,VRH,145.95,-36.58
VRH24,VRH,145.95,-36.58
VRH25,VRH,145.95,-36.58
VRH26,VRH,145.95,-36.58
VRH27,VRH,145.95,-36.58
VRH29,VRH,145.95,-36.58
VRH30,VRH,145.95,-36.58
VTT02,VTT,144.22,-36.14
VTT03,VTT,144.22,-36.14
VTT04,VTT,144.22,-36.14
VTT05,VTT,144.22,-36.14
VTT06,VTT,144.22,-36.14
VTT08,VTT,144.22,-36.14
VTT09,VTT,144.22,-36.14
VTT10,VTT,144.22,-36.14
VTT11,VTT,144.22,-36.14
VTT12,VTT,144.22,-36.14
VTT13,VTT,144.22,-36.14
VTT14,VTT,144.22,-36.14
VTT17,VTT,144.22,-36.14
VTT18,VTT,144.22,-36.14
VTT19,VTT,144.22,-36.14
VTT20,VTT,144.22,-36.14
VTT22,VTT,144.22,-36.14
VTT23,VTT,144.22,-36.14
VTT24,VTT,144.22,-36.14
VTT25,VTT,144.22,-36.14
VTT26,VTT,144.22,-36.14
VTT28,VTT,144.22,-36.14
VTT29,VTT,144.22,-36.14
VWG01,VWG,144.36,-37.67
VWG04B,VWG,144.36,-37.67
VWG06B,VWG,144.36,-37.67
VWG09,VWG,144.36,-37.67
VWG13,VWG,144.36,-37.67
VWG15,VWG,144.36,-37.67
VWG18,VWG,144.36,-37.67
VWG20,VWG,144.36,-37.67
VWG21,VWG,144.36,-37.67
VWG22,VWG,144.36,-37.67
VWG23,VWG,144.36,-37.67
VWG24B,VWG,144.36,-37.67
VWG25,VWG,144.36,-37.67
VWG26,VWG,144.36,-37.67
VWG27,VWG,144.36,-37.67
VWG28B,VWG,144.36,-37.67
VWG29,VWG,144.36,-37.67
VWG30,VWG,144.36,-37.67
VWG31,VWG,144.36,-37.67
VWG32B,VWG,144.36,-37.67
VWG33,VWG,144.36,-37.67
VWG34B,VWG,144.36,-37.67
VWG35,VWG,144.36,-37.67
VWG36B,VWG,144.36,-37.67
VWG37,VWG,144.36,-37.67
VWG38B,VWG,144.36,-37.67
VWG39,VWG,144.36,-37.67
VWG40,VWG,144.36,-37.67
