"","Population","Sample","Lon","Lat"
"329","NNA","NNA14",146.5,-34.75
"330","NNA","NNA15",146.5,-34.75
"331","NNA","NNA16",146.5,-34.75
"332","NNA","NNA17",146.5,-34.75
"333","NNA","NNA18",146.5,-34.75
"334","NNA","NNA19",146.5,-34.75
"335","NNA","NNA20",146.5,-34.75
"336","NTA","NTA02",147.68,-35.25
"337","NTA","NTA04",147.68,-35.25
"338","NTA","NTA05",147.68,-35.25
"339","NTA","NTA06",147.68,-35.25
"340","NTA","NTA09",147.68,-35.25
"341","NTA","NTA10",147.68,-35.25
"342","NTA","NTA11",147.68,-35.25
"343","NTA","NTA12",147.68,-35.25
"344","NTA","NTA13",147.68,-35.25
"345","NTA","NTA14",147.68,-35.25
"346","NTA","NTA15",147.68,-35.25
"347","NTA","NTA16",147.68,-35.25
"348","NTA","NTA17",147.68,-35.25
"349","NTA","NTA19",147.68,-35.25
"350","NTA","NTA20",147.68,-35.25
"351","NTA","NTA22",147.68,-35.25
"352","NTA","NTA24",147.68,-35.25
"353","NTA","NTA25",147.68,-35.25
"354","NTR","NTR01",147.09,-35.31
"355","NTR","NTR05",147.09,-35.31
"356","NTR","NTR07",147.09,-35.31
"357","NTR","NTR10",147.09,-35.31
"358","NTR","NTR13",147.09,-35.31
"359","NTR","NTR16",147.09,-35.31
"360","NTR","NTR21",147.09,-35.31
"361","NTR","NTR22",147.09,-35.31
"362","NTR","NTR23",147.09,-35.31
"363","NTR","NTR24",147.09,-35.31
"364","NTR","NTR25",147.09,-35.31
"365","NTR","NTR26",147.09,-35.31
"366","NTR","NTR27",147.09,-35.31
"367","NTR","NTR28",147.09,-35.31
"368","NTR","NTR29",147.09,-35.31
"369","NTR","NTR30",147.09,-35.31
"370","NTR","NTR31",147.09,-35.31
"371","NTR","NTR32",147.09,-35.31
"372","NTR","NTR33",147.09,-35.31
"373","NTR","NTR34",147.09,-35.31
"374","NTR","NTR35",147.09,-35.31
"375","NTR","NTR36",147.09,-35.31
"376","NTR","NTR38",147.09,-35.31
"377","NTR","NTR39",147.09,-35.31
"378","NTR","NTR40",147.09,-35.31
"379","VBU","VBU01",142.18,-36.82
"380","VBU","VBU03",142.18,-36.82
"381","VBU","VBU05",142.18,-36.82
"382","VBU","VBU06",142.18,-36.82
"383","VBU","VBU08",142.18,-36.82
"384","VBU","VBU09B",142.18,-36.82
"385","VBU","VBU11",142.18,-36.82
"386","VBU","VBU12",142.18,-36.82
"387","VBU","VBU13",142.18,-36.82
"388","VBU","VBU14B",142.18,-36.82
"389","VBU","VBU15",142.18,-36.82
"390","VBU","VBU16",142.18,-36.82
"391","VBU","VBU17",142.18,-36.82
"392","VBU","VBU19",142.18,-36.82
"393","VBU","VBU21",142.18,-36.82
"394","VBU","VBU22B",142.18,-36.82
